collision_type,long,lat,neighbourhood,num_of_collisions
Personal Injury,-79.5099837893639,43.6247050032507,Stonegate-Queensway (16),1188
Property Damage,-79.5104537076317,43.6606238137892,Kingsway South (15),389
Property Damage,-79.4645540975131,43.6653982259026,Junction Area (90),863
Property Damage,-79.5547088753925,43.6327968217902,Etobicoke City Centre (159),1458
Property Damage,-79.4589149678089,43.7320863725529,Clanton Park (33),740
Property Damage,-79.2989024117046,43.6702625431702,The Beaches (63),1156
Property Damage,-79.3416038599358,43.6648380985724,South Riverdale (70),1798
Property Damage,-79.5423768321248,43.7520838840999,Humbermede (22),576
Property Damage,-79.2942927173781,43.8018071321687,Milliken (130),1425
Property Damage,-79.4608493643827,43.70552272753,Yorkdale-Glen Park (31),1207
Fail to Remain,-79.6042136760591,43.7060225258956,West Humber-Clairville (1),2728
Property Damage,-79.2644593218745,43.7496871426905,Bendale South (157),487
Property Damage,-79.5014649934951,43.7071494181813,Rustic (28),275
Property Damage,-79.3841067783082,43.6491818615359,Yonge-Bay Corridor (170),1080
Fail to Remain,-79.3259658602572,43.7943252981324,L'Amoreaux West (147),520
Property Damage,-79.3097492966678,43.6633906699868,South Riverdale (70),1798
Property Damage,-79.3935927729493,43.7922915718959,Bayview Woods-Steeles (49),374
Property Damage,-79.4992037341008,43.6655180384398,Lambton Baby Point (114),127
Property Damage,-79.3425398593146,43.6671167167177,South Riverdale (70),1798
Property Damage,-79.5568998425087,43.6101198168381,Etobicoke City Centre (159),1458
Property Damage,-79.5372871017611,43.7170173901675,Pelmo Park-Humberlea (23),548
Personal Injury,-79.5926115192259,43.7165253700746,West Humber-Clairville (1),2728
Property Damage,-79.5114537576796,43.6839559032649,Humber Heights-Westmount (8),407
Fail to Remain,-79.2006452794825,43.7961901379321,Malvern East (146),847
Personal Injury,-79.3415752373436,43.739469387137,Banbury-Don Mills (42),1218
Property Damage,-79.2063927378503,43.8133330216923,Morningside Heights (144),1211
Property Damage,-79.5242833716889,43.7559224457498,Glenfield-Jane Heights (25),958
Personal Injury,-79.4600444156028,43.6547008883244,High Park-Swansea (87),1261
Property Damage,-79.4190284188494,43.6551509574509,Trinity-Bellwoods (81),868
Property Damage,-79.4494695635728,43.7275808110579,Yorkdale-Glen Park (31),1207
Property Damage,-79.4940929072563,43.7049440137794,Brookhaven-Amesbury (30),711
Property Damage,-79.3548694700047,43.6786488887393,Playter Estates-Danforth (67),271
Property Damage,-79.3920695202939,43.7729241195762,East Willowdale (152),654
Personal Injury,-79.1836070532584,43.761906010366,West Hill (136),1007
Property Damage,-79.5494119580327,43.6204688448026,Etobicoke City Centre (159),1458
Property Damage,-79.2611292660267,43.7736063557745,Bendale-Glen Andrew (156),829
Property Damage,-79.361557236675,43.7660671758428,St.Andrew-Windfields (40),666
Property Damage,-79.1717582088308,43.7716459415325,West Hill (136),1007
Property Damage,-79.5147801529679,43.62358594648,Stonegate-Queensway (16),1188
Fail to Remain,-79.3448902929135,43.7361804055616,Banbury-Don Mills (42),1218
Property Damage,-79.36361369848,43.7794442849799,Don Valley Village (47),655
Property Damage,-79.4496672047632,43.7706353150783,Westminster-Branson (35),455
Fail to Remain,-79.3944158176362,43.7120648215482,Mount Pleasant East (99),786
Personal Injury,-79.3973771434539,43.6680270463651,University (79),592
Fail to Remain,-79.4092217828622,43.6446710702117,West Queen West (162),577
Fail to Remain,-79.5038286276286,43.6383200528519,Stonegate-Queensway (16),1188
Property Damage,-79.3211863631028,43.6838592306259,Woodbine Corridor (64),471
Property Damage,-79.2736473413804,43.6943591642128,Oakridge (121),479
Property Damage,-79.2209211506047,43.8055731834618,Malvern West (145),647
Property Damage,-79.2701285275842,43.7374475901977,Ionview (125),310
Property Damage,-79.2027210442546,43.8089281671565,Morningside Heights (144),1211
Property Damage,-79.4828746159533,43.688362175067,Keelesdale-Eglinton West (110),628
Property Damage,-79.4004392441125,43.7163679775642,Mount Pleasant East (99),786
Property Damage,-79.3050210930013,43.8230763862757,Milliken (130),1425
Personal Injury,-79.247813630443,43.8239919468943,Morningside Heights (144),1211
Property Damage,-79.4411053291657,43.702247168808,Briar Hill-Belgravia (108),442
Fail to Remain,-79.4676197369762,43.6725283652282,Junction Area (90),863
Property Damage,-79.4155740411177,43.7797628753972,Yonge-Doris (151),412
Property Damage,-79.3157626269002,43.7967668769759,East L'Amoreaux (148),487
Property Damage,-79.3125900275399,43.667238555601,The Beaches (63),1156
Fail to Remain,-79.3768506582265,43.6723523758668,North St.James Town (74),308
Property Damage,-79.3437191362443,43.7758285046409,Henry Farm (53),584
Property Damage,-79.2470244743144,43.7805325312627,Woburn North (142),977
Property Damage,-79.2751946955399,43.8310508696606,Milliken (130),1425
Property Damage,-79.2922496522907,43.7676229820356,Dorset Park (126),1208
Fail to Remain,-79.3437191362443,43.7758285046409,Don Valley Village (47),655
Fail to Remain,-79.288907762874,43.8031205216209,Milliken (130),1425
Fail to Remain,-79.594952438969,43.7360109681461,West Humber-Clairville (1),2728
Property Damage,-79.3559763191842,43.7345294828875,Banbury-Don Mills (42),1218
Property Damage,-79.5821122604179,43.7432574877207,Mount Olive-Silverstone-Jamestown (2),734
Property Damage,-79.3709181377189,43.7694709278806,Bayview Village (52),752
Property Damage,-79.4109343782376,43.7615026164836,Avondale (153),373
Fail to Remain,-79.2683085977179,43.7875720849603,Agincourt South-Malvern West (128),1101
Fail to Remain,-79.4985654515536,43.6272302529572,Stonegate-Queensway (16),1188
Personal Injury,-79.5052709285866,43.6007556250278,New Toronto (18),448
Fail to Remain,-79.387412268291,43.6684711696888,Bay-Cloverhill (169),492
Fail to Remain,-79.3998652207525,43.6869298945493,Yonge-St.Clair (97),423
Property Damage,-79.3215145908759,43.7719352575818,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.3132593307137,43.7522071262356,Parkwoods-O'Connor Hills (149),450
Property Damage,-79.3470374417857,43.7751009539344,Henry Farm (53),584
Property Damage,-79.5441052187743,43.6913509338952,Kingsview Village-The Westway (6),462
Fail to Remain,-79.4052019318995,43.6469618520473,Trinity-Bellwoods (81),868
Property Damage,-79.5129108076765,43.6201562020298,Stonegate-Queensway (16),1188
Property Damage,-79.5748712424087,43.7643484492227,Humber Summit (21),944
Property Damage,-79.4084381466948,43.7538029009264,St.Andrew-Windfields (40),666
Property Damage,-79.3813546202972,43.7286197110706,Bridle Path-Sunnybrook-York Mills (41),631
Property Damage,-79.4032903297917,43.7291518693072,Lawrence Park North (105),546
Property Damage,-79.5285483361985,43.6252011456876,Etobicoke City Centre (159),1458
Property Damage,-79.3000306359975,43.7584853597738,Wexford/Maryvale (119),1973
Fail to Remain,-79.3880526321023,43.7665830587152,Bayview Village (52),752
Personal Injury,-79.5258222659144,43.6181775651018,Mimico-Queensway (160),760
Property Damage,-79.3848032179386,43.6476559508398,Yonge-Bay Corridor (170),1080
Personal Injury,-79.5467279172218,43.6970432450433,Kingsview Village-The Westway (6),462
Property Damage,-79.2551147780169,43.7529262100756,Bendale South (157),487
Property Damage,-79.3377150749182,43.7001088001104,Old East York (58),670
Property Damage,-79.2812349137766,43.7292513088668,Wexford/Maryvale (119),1973
Fail to Remain,-79.5683965435645,43.7483741918923,Humbermede (22),576
Property Damage,-79.395966005075607,43.6478016301921,Wellington Place (164),1146
Property Damage,-79.4844793369799,43.6493242365327,High Park-Swansea (87),1261
Fail to Remain,-79.2883551117969,43.6912262663953,Oakridge (121),479
Property Damage,-79.4464577189761,43.6667193512691,Junction-Wallace Emerson (171),783
Property Damage,-79.3157626269002,43.7967668769759,L'Amoreaux West (147),520
Property Damage,-79.5202375426161,43.5974374620197,New Toronto (18),448
Fail to Remain,-79.3039612803954,43.786873048706,Tam O'Shanter-Sullivan (118),841
Personal Injury,-79.3328250170361,43.7273156949362,Banbury-Don Mills (42),1218
Property Damage,-79.5955624929388,43.6867511941472,West Humber-Clairville (1),2728
Property Damage,-79.4676713837487,43.6818891790056,Keelesdale-Eglinton West (110),628
Fail to Remain,-79.2209211506047,43.8055731834618,Malvern West (145),647
Property Damage,-79.2253210775727,43.7598165487073,Golfdale-Cedarbrae-Woburn (141),1005
Fail to Remain,-79.4839121077652,43.7222731344441,Oakdale-Beverley Heights (154),842
Personal Injury,-79.2683085977179,43.7875720849603,Agincourt South-Malvern West (128),1101
Personal Injury,-79.3059780700395,43.7989921239807,East L'Amoreaux (148),487
Personal Injury,-79.6009975886255,43.7346265509027,West Humber-Clairville (1),2728
Property Damage,-79.3247023691377,43.7407841913086,Victoria Village (43),558
Personal Injury,-79.3051546313362,43.7971094983391,East L'Amoreaux (148),487
Personal Injury,-79.3157626269002,43.7967668769759,East L'Amoreaux (148),487
Personal Injury,-79.3498736432105,43.7050005402771,Thorncliffe Park (55),527
Personal Injury,-79.397028493598,43.7914885161561,Newtonbrook East (50),719
Personal Injury,-79.2155924756857,43.8077936355891,Malvern East (146),847
Personal Injury,-79.3215145908759,43.7719352575818,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.5232909784541,43.6981692963837,Humber Heights-Westmount (8),407
Personal Injury,-79.5438783925889,43.7580751825759,Humber Summit (21),944
Property Damage,-79.313145673178,43.6865197170658,Woodbine-Lumsden (60),306
Property Damage,-79.4627678191457,43.7503711025769,Downsview (155),810
Fail to Remain,-79.1395022626386,43.7995305366452,West Rouge (143),731
Fail to Remain,-79.3148473362878,43.6667336724909,Greenwood-Coxwell (65),604
Property Damage,-79.429330099041,43.6645864056196,Dovercourt Village (172),539
Property Damage,-79.4182847309574,43.6498191526128,Trinity-Bellwoods (81),868
Property Damage,-79.3388703228892,43.7204946532604,Flemingdon Park (44),463
Personal Injury,-79.3809227673582,43.6563225842995,Downtown Yonge East (168),975
Property Damage,-79.3107514151627,43.6807872771792,East End-Danforth (62),896
Personal Injury,-79.542831179831,43.5922886405839,Long Branch (19),400
Property Damage,-79.3314089151809,43.7931003180309,L'Amoreaux West (147),520
Personal Injury,-79.2542148158456,43.7795826394191,Woburn North (142),977
Property Damage,-79.2605905421415,43.8355314588908,Milliken (130),1425
Property Damage,-79.5598492447548,43.7497986217,Humber Summit (21),944
Property Damage,-79.2514950441435,43.7721358860622,Woburn North (142),977
Fail to Remain,-79.2738842055463,43.7132049274687,Clairlea-Birchmount (120),1510
Fail to Remain,-79.4457553222831,43.7924127558532,Newtonbrook West (36),828
Property Damage,-79.5580540569778,43.7599929184163,Humber Summit (21),944
Personal Injury,-79.4166416726327,43.7711421348785,Willowdale West (37),553
Property Damage,-79.4258011030256,43.6348866019334,South Parkdale (85),1062
Property Damage,-79.4452526696247,43.7865857463977,Newtonbrook West (36),828
Property Damage,-79.451276392006,43.6406546089345,High Park-Swansea (87),1261
Property Damage,-79.5000005202526,43.7610570761458,York University Heights (27),1707
Property Damage,-79.4545017613827,43.7130647508146,Yorkdale-Glen Park (31),1207
Property Damage,-79.3834181620317,43.6621299047662,Bay-Cloverhill (169),492
Personal Injury,-79.2872745185364,43.7269310987218,Clairlea-Birchmount (120),1510
Personal Injury,-79.5688644392319,43.7547034281288,Humber Summit (21),944
Fail to Remain,-79.5181120065343,43.758968935327196,Black Creek (24),499
Property Damage,-79.3209715257386,43.8063431449379,Steeles (116),638
Property Damage,-79.2711070016033,43.7679187940272,Dorset Park (126),1208
Property Damage,-79.5353572188093,43.6417886158167,Etobicoke City Centre (159),1458
Property Damage,-79.5561503922581,43.6142113800981,Etobicoke City Centre (159),1458
Property Damage,-79.2461840517219,43.8202329247461,Morningside Heights (144),1211
Property Damage,-79.3618723132855,43.6495633443085,St Lawrence-East Bayfront-The Islands (166),1257
Property Damage,-79.4353621706088,43.6598775908556,Dufferin Grove (83),564
Property Damage,-79.36612776582,43.6464367844754,St Lawrence-East Bayfront-The Islands (166),1257
Fail to Remain,-79.5232909784541,43.6981692963837,Humber Heights-Westmount (8),407
Property Damage,-79.463726792221,43.751751741674,York University Heights (27),1707
Property Damage,-79.3019418958237,43.8121308446156,Milliken (130),1425
Property Damage,-79.5647835517515,43.7665503986258,Humber Summit (21),944
Property Damage,-79.2947269257573,43.7453703486846,Wexford/Maryvale (119),1973
Fail to Remain,-79.3585192814081,43.7114595496304,Thorncliffe Park (55),527
Property Damage,-79.1365091764879,43.7923614450856,West Rouge (143),731
Fatal,-79.367297780654,43.6490404277233,St Lawrence-East Bayfront-The Islands (166),1257
Property Damage,-79.2202007722526,43.735932947054,Scarborough Village (139),442
Fail to Remain,-79.3403973153466,43.6681668822922,South Riverdale (70),1798
Property Damage,-79.4030139936553,43.6907759676864,Yonge-St.Clair (97),423
Property Damage,-79.2598103653621,43.7920553353335,Agincourt South-Malvern West (128),1101
Property Damage,-79.5307870822314,43.7554720187462,Glenfield-Jane Heights (25),958
Property Damage,-79.2965953003418,43.8012621447981,East L'Amoreaux (148),487
Property Damage,-79.4432150685157,43.7163103807698,Englemount-Lawrence (32),606
Personal Injury,-79.3053530930731,43.7730834467239,Tam O'Shanter-Sullivan (118),841
Fail to Remain,-79.2591698455305,43.7784380272832,Bendale-Glen Andrew (156),829
Property Damage,-79.5892288146999,43.7410877284874,Mount Olive-Silverstone-Jamestown (2),734
Property Damage,-79.3040628712096,43.7682019970179,Wexford/Maryvale (119),1973
Property Damage,-79.3001759311248,43.7187628935411,Victoria Village (43),558
Property Damage,-79.4864487005524,43.7447713436292,Downsview (155),810
Property Damage,-79.2156794064866,43.7605673660613,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.2971593810426,43.7841069328402,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.5260146063711,43.6191860321766,Etobicoke City Centre (159),1458
Property Damage,-79.3341716599591,43.811754562061,Steeles (116),638
Property Damage,-79.4699911418588,43.6692464646838,Junction Area (90),863
Personal Injury,-79.5400844750119,43.6361034547189,Etobicoke City Centre (159),1458
Property Damage,-79.1990769451561,43.800274328296,Malvern East (146),847
Property Damage,-79.2986119787452,43.7285175774621,Wexford/Maryvale (119),1973
Property Damage,-79.2539576285991,43.724821404674,Kennedy Park (124),679
Personal Injury,-79.5421282157603,43.7508415742286,Humbermede (22),576
Fail to Remain,-79.4329986797232,43.678407379832,Wychwood (94),619
Property Damage,-79.2297129196879,43.727458140733,Cliffcrest (123),715
Property Damage,-79.4329702659446,43.7184864868432,Englemount-Lawrence (32),606
Fail to Remain,-79.5892288146999,43.7410877284874,Mount Olive-Silverstone-Jamestown (2),734
Property Damage,-79.5052709285866,43.6007556250278,New Toronto (18),448
Property Damage,-79.25217634284,43.7037720329322,Birchcliffe-Cliffside (122),944
Property Damage,-79.5206986946286,43.7567260208018,Glenfield-Jane Heights (25),958
Property Damage,-79.4669241544867,43.7688459756394,Bathurst Manor (34),619
Personal Injury,-79.2202007722526,43.735932947054,Scarborough Village (139),442
Property Damage,-79.3236356415093,43.6833599223347,Woodbine Corridor (64),471
Property Damage,-79.4159980347347,43.7816314770614,Newtonbrook East (50),719
Property Damage,-79.4200843403318,43.7980046114273,Newtonbrook East (50),719
Personal Injury,-79.2961865105045,43.7092714453129,Clairlea-Birchmount (120),1510
Fail to Remain,-79.5561503922581,43.6142113800981,Etobicoke City Centre (159),1458
Property Damage,-79.3745632872114,43.6570608976536,Moss Park (73),1186
Property Damage,-79.4820659578942,43.7266361406988,Downsview (155),810
Property Damage,-79.4821020557016,43.6655731517706,Junction Area (90),863
Property Damage,-79.5327351701662,43.6961551556354,Humber Heights-Westmount (8),407
Property Damage,-79.2414454383365,43.720869051178,Cliffcrest (123),715
Property Damage,-79.2848332965546,43.7475125397076,Dorset Park (126),1208
Property Damage,-79.4876242870768,43.6727538676485,Rockcliffe-Smythe (111),825
Property Damage,-79.4714769880066,43.7678203076073,York University Heights (27),1707
Property Damage,-79.3791313378142,43.6459808612379,St Lawrence-East Bayfront-The Islands (166),1257
Property Damage,-79.3176488588485,43.6688843534649,Woodbine Corridor (64),471
Property Damage,-79.3320843258816,43.7394910024543,Banbury-Don Mills (42),1218
