collision_type,long,lat,neighbourhood,num_of_collisions
Fail to Remain,-79.2860214709341,43.6780054251059,The Beaches (63),1156
Fail to Remain,-79.4964987910644,43.6780204162555,Rockcliffe-Smythe (111),825
Property Damage,-79.4666258010686,43.6608544894204,High Park North (88),542
Personal Injury,-79.2584897530668,43.7716977615071,Bendale-Glen Andrew (156),829
Fail to Remain,-79.5370592346044,43.6376786005409,Etobicoke City Centre (159),1458
Fail to Remain,-79.4108205204287,43.700391013186,Forest Hill South (101),733
Property Damage,-79.3905007580606,43.6500238970027,Kensington-Chinatown (78),1099
Fail to Remain,-79.4000336475722,43.7145595985794,Lawrence Park South (103),695
Personal Injury,-79.3699643453104,43.6655748248073,Cabbagetown-South St.James Town (71),567
Property Damage,-79.3900359027355,43.76612857019,East Willowdale (152),654
Fail to Remain,-79.5190078219787,43.6797377761845,Edenbridge-Humber Valley (9),526
Property Damage,-79.4920960881909,43.6678977571156,Rockcliffe-Smythe (111),825
Fail to Remain,-79.4038931020006,43.7604366272185,Avondale (153),373
Fail to Remain,-79.3373542410199,43.8063934303035,Steeles (116),638
Fail to Remain,-79.3261525107783,43.7442091147817,Parkwoods-O'Connor Hills (149),450
Property Damage,-79.5287948533109,43.6200873067914,Etobicoke City Centre (159),1458
Fail to Remain,-79.3234777384278,43.6677326776924,Greenwood-Coxwell (65),604
Fail to Remain,-79.4134973326862,43.6507759228011,Trinity-Bellwoods (81),868
Property Damage,-79.3185472438684,43.6928037638626,Danforth East York (59),637
Property Damage,-79.5101687156459,43.7372398199571,Glenfield-Jane Heights (25),958
Property Damage,-79.3489060130928,43.6826890659599,Playter Estates-Danforth (67),271
Property Damage,-79.1924981561895,43.7522986953991,Guildwood (140),279
Personal Injury,-79.2598975790729,43.7357705483908,Eglinton East (138),631
Personal Injury,-79.2074168127673,43.8017897474906,Malvern East (146),847
Property Damage,-79.3001932761565,43.8049499078016,East L'Amoreaux (148),487
Property Damage,-79.4201732101674,43.6511988764064,Trinity-Bellwoods (81),868
Personal Injury,-79.5554732842675,43.6742114561515,Princess-Rosethorn (10),363
Property Damage,-79.424104854816,43.7322019554563,Bedford Park-Nortown (39),1105
Property Damage,-79.4346576926687,43.7399950089862,Lansing-Westgate (38),611
Personal Injury,-79.4446121392215,43.7351402865955,Clanton Park (33),740
Property Damage,-79.3786201959673,43.6163178119383,St Lawrence-East Bayfront-The Islands (166),1257
Property Damage,-79.253866346402,43.7020975983637,Birchcliffe-Cliffside (122),944
Fail to Remain,-79.3489060130928,43.6826890659599,Playter Estates-Danforth (67),271
Property Damage,-79.3103152842647,43.7218313812927,Victoria Village (43),558
Property Damage,-79.5728293790773,43.7629547959075,Humber Summit (21),944
Fail to Remain,-79.4692162071267,43.732933926954,Downsview (155),810
Fail to Remain,-79.2991411467159,43.6991259320079,O'Connor-Parkview (54),578
Property Damage,-79.401656591097293,43.7004815379197,Yonge-Eglinton (100),609
Fail to Remain,-79.6251283545615,43.7530058380323,West Humber-Clairville (1),2728
Property Damage,-79.4331491095076,43.641294061162,South Parkdale (85),1062
Property Damage,-79.4181468325365,43.742354328461,Bedford Park-Nortown (39),1105
Personal Injury,-79.3273459696807,43.6639039552369,Greenwood-Coxwell (65),604
Property Damage,-79.3695080251071,43.6586528439138,Moss Park (73),1186
Property Damage,-79.4486348750054,43.7022846529789,Briar Hill-Belgravia (108),442
Personal Injury,-79.3942768172954,43.6547968700057,Kensington-Chinatown (78),1099
Property Damage,-79.5119703081855,43.6600522803051,Edenbridge-Humber Valley (9),526
Fail to Remain,-79.2086915801593,43.8025346874648,Malvern East (146),847
Property Damage,-79.4332122821834,43.6485803712697,Little Portugal (84),624
Property Damage,-79.2995017076977,43.7734355046744,Tam O'Shanter-Sullivan (118),841
Fail to Remain,-79.219584496175,43.7948265660469,Malvern East (146),847
Property Damage,-79.4303590494143,43.6701819474201,Dovercourt Village (172),539
Personal Injury,-79.4169490350946,43.7408872101144,Bedford Park-Nortown (39),1105
Property Damage,-79.4848781721455,43.6375182873176,Stonegate-Queensway (16),1188
Property Damage,-79.2918569150408,43.7018051373036,Clairlea-Birchmount (120),1510
Personal Injury,-79.288796897438,43.8070448008131,Agincourt North (129),790
Property Damage,-79.3135533030529,43.6670241060433,Woodbine Corridor (64),471
Property Damage,-79.440919080055,43.6928161151609,Oakwood Village (107),767
Personal Injury,-79.5570072025365,43.6662444703299,Princess-Rosethorn (10),363
Property Damage,-79.4382367177839,43.754487466321,Lansing-Westgate (38),611
Property Damage,-79.4273528845842,43.647551449435,Little Portugal (84),624
Personal Injury,-79.4867320950786,43.6298312679096,Stonegate-Queensway (16),1188
Personal Injury,-79.3727580813418,43.6556021041628,Moss Park (73),1186
Personal Injury,-79.2735587354373,43.6989504472275,Oakridge (121),479
Fail to Remain,-79.4472899123552,43.6688039254469,Junction-Wallace Emerson (171),783
Fail to Remain,-79.309226774317,43.749518068075,Wexford/Maryvale (119),1973
Fail to Remain,-79.4369278403197,43.6395966039914,South Parkdale (85),1062
Personal Injury,-79.4096182841142,43.7043546134665,Yonge-Eglinton (100),609
Personal Injury,-79.5485758821993,43.6107312493552,Alderwood (20),574
Fail to Remain,-79.4816902319562,43.7251050234156,Downsview (155),810
Property Damage,-79.4519694237031,43.688090273748,Caledonia-Fairbank (109),407
Property Damage,-79.3378226253943,43.7619650107889,Parkwoods-O'Connor Hills (149),450
Fail to Remain,-79.3725898213569,43.8084972908215,Bayview Woods-Steeles (49),374
Fail to Remain,-79.4224583760583,43.6995108741242,Forest Hill South (101),733
Property Damage,-79.2012692902343,43.8204147963017,Morningside Heights (144),1211
Fail to Remain,-79.5160226919488,43.5983820757134,New Toronto (18),448
Fail to Remain,-79.2651454778118,43.8220980529201,Milliken (130),1425
Fail to Remain,-79.4278326675808,43.6352104145784,South Parkdale (85),1062
Property Damage,-79.4414004739007,43.7549317307645,Bathurst Manor (34),619
Fail to Remain,-79.4222323963454,43.6790236460152,Wychwood (94),619
Fail to Remain,-79.5443322684809,43.6623879526373,Princess-Rosethorn (10),363
Fatal,-79.4880524491739,43.7272948152094,Downsview (155),810
Personal Injury,-79.37764462613,43.6485172891734,Downtown Yonge East (168),975
Fail to Remain,-79.3550792470281,43.6851604198382,Broadview North (57),396
Fail to Remain,-79.385048112432,43.6660574834816,Church-Wellesley (167),488
Personal Injury,-79.3462457545486,43.7478316584889,Banbury-Don Mills (42),1218
Personal Injury,-79.3789355487469,43.7209697734973,Bridle Path-Sunnybrook-York Mills (41),631
Personal Injury,-79.5294450797572,43.700816140443,Humber Heights-Westmount (8),407
Property Damage,-79.6202330877677,43.7287111180763,West Humber-Clairville (1),2728
Fail to Remain,-79.428948553687,43.6472259544641,Little Portugal (84),624
Fail to Remain,-79.5485758821993,43.6107312493552,Alderwood (20),574
Fail to Remain,-79.4862766518201,43.7276941988857,Downsview (155),810
Fail to Remain,-79.2326670299866,43.7175095827373,Cliffcrest (123),715
Property Damage,-79.3408760810318,43.7547689464006,Parkwoods-O'Connor Hills (149),450
Fail to Remain,-79.519787203343,43.7417632626042,Glenfield-Jane Heights (25),958
Property Damage,-79.4824548193535,43.6837277835088,Rockcliffe-Smythe (111),825
Fail to Remain,-79.2387636516749,43.7807359574744,Woburn North (142),977
Personal Injury,-79.4213800050428,43.65095207559,Trinity-Bellwoods (81),868
Property Damage,-79.4102398503058,43.7352436032402,Bedford Park-Nortown (39),1105
Property Damage,-79.5333054003409,43.6141944008002,Alderwood (20),574
Property Damage,-79.3972624147368,43.7717751342995,East Willowdale (152),654
Property Damage,-79.4197016971779,43.7341253136219,Bedford Park-Nortown (39),1105
Property Damage,-79.3978065056958,43.7933199998791,Newtonbrook East (50),719
Property Damage,-79.3588689692619,43.6761961791918,Playter Estates-Danforth (67),271
Property Damage,-79.2416266076677,43.7841001025482,Agincourt South-Malvern West (128),1101
Property Damage,-79.4030494825803,43.6808882929927,Casa Loma (96),586
Personal Injury,-79.3861532842174,43.7274435524122,Bridle Path-Sunnybrook-York Mills (41),631
Property Damage,-79.5609933608045,43.627626702823,Etobicoke City Centre (159),1458
Property Damage,-79.2262539891685,43.7360104045854,Cliffcrest (123),715
Property Damage,-79.3643349914796,43.6455686759344,St Lawrence-East Bayfront-The Islands (166),1257
Property Damage,-79.5597533951897,43.7248743927904,Elms-Old Rexdale (5),380
Personal Injury,-79.3662048970114,43.6526895224794,Moss Park (73),1186
Personal Injury,-79.3251352971148,43.7163279243152,Flemingdon Park (44),463
Property Damage,-79.4990029151707,43.6048505358483,Mimico-Queensway (160),760
Property Damage,-79.4502140189547,43.7530612233131,Bathurst Manor (34),619
Fail to Remain,-79.3675698675096,43.7139320031414,Leaside-Bennington (56),834
Fail to Remain,-79.4118604401987,43.6340690694362,Fort York-Liberty Village (163),604
Personal Injury,-79.4456598242463,43.6773653937487,Corso Italia-Davenport (92),616
Fail to Remain,-79.3143626805963,43.712782371842,O'Connor-Parkview (54),578
Fail to Remain,-79.5152277778151,43.7681488158175,Black Creek (24),499
Fail to Remain,-79.1828328205504,43.7691677154911,West Hill (136),1007
Fail to Remain,-79.4084548777392,43.6719339651756,Annex (95),1286
Fail to Remain,-79.2383582535327,43.7388469561834,Eglinton East (138),631
Property Damage,-79.5363483617445,43.6135190594858,Alderwood (20),574
Fail to Remain,-79.3900131906056,43.7007191304389,South Eglinton-Davisville (174),418
Fail to Remain,-79.3672605715934,43.6661557423052,Cabbagetown-South St.James Town (71),567
Fail to Remain,-79.2021519710578,43.8054225332698,Malvern East (146),847
Property Damage,-79.3553780075248,43.7136952421502,Thorncliffe Park (55),527
Personal Injury,-79.5178467985182,43.7501933457997,Glenfield-Jane Heights (25),958
Property Damage,-79.4810109000146,43.7010750830494,Brookhaven-Amesbury (30),711
Property Damage,-79.3788680576671,43.6893036033335,Rosedale-Moore Park (98),1190
Property Damage,-79.3944928297194,43.6782724256246,Annex (95),1286
Fail to Remain,-79.4996494989741,43.6019928132955,New Toronto (18),448
Fail to Remain,-79.454178065035,43.6913193437972,Caledonia-Fairbank (109),407
Personal Injury,-79.4946456853668,43.7777118510311,York University Heights (27),1707
Personal Injury,-79.4942931403801,43.7663417424052,York University Heights (27),1707
Property Damage,-79.5636257507061,43.6454610387451,Etobicoke West Mall (13),278
Fail to Remain,-79.3151291156615,43.6910807082212,Danforth East York (59),637
Fail to Remain,-79.3864213202476,43.6693621318274,Bay-Cloverhill (169),492
Personal Injury,-79.3473224512298,43.7959323738041,Hillcrest Village (48),676
Property Damage,-79.5687021839989,43.7158817714574,West Humber-Clairville (1),2728
Fail to Remain,-79.5223709295279,43.7372898240448,Oakdale-Beverley Heights (154),842
Personal Injury,-79.4673396651283,43.7603174137799,York University Heights (27),1707
Property Damage,-79.4951728550292,43.6279657271337,Stonegate-Queensway (16),1188
Fail to Remain,-79.2555136117159,43.8071118150335,Agincourt North (129),790
Property Damage,-79.3909292225465,43.670318531539,Annex (95),1286
Personal Injury,-79.4529194084293,43.7057666134952,Yorkdale-Glen Park (31),1207
Property Damage,-79.4084991205287,43.7194128966861,Lawrence Park South (103),695
Property Damage,-79.4238539314141,43.781757844935,Newtonbrook West (36),828
Property Damage,-79.5023873702295,43.7667986891826,York University Heights (27),1707
Personal Injury,-79.1849070557951,43.8088287905091,Morningside Heights (144),1211
Property Damage,-79.4240759247385,43.7196135306535,Bedford Park-Nortown (39),1105
Fail to Remain,-79.4772297169639,43.6509054558028,High Park-Swansea (87),1261
Personal Injury,-79.3263598326309,43.8051181759623,Steeles (116),638
Property Damage,-79.4476815759542,43.6962525758912,Oakwood Village (107),767
Fail to Remain,-79.3819043590373,43.7364013041869,Bridle Path-Sunnybrook-York Mills (41),631
Fail to Remain,-79.3620225388606,43.6575967642763,Regent Park (72),406
Property Damage,-79.5710229247826,43.6797135315029,Willowridge-Martingrove-Richview (7),579
Property Damage,-79.3475565069675,43.6564889919496,South Riverdale (70),1798
Personal Injury,-79.2970449373861,43.7768154490507,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.1407189747996,43.8023796823514,West Rouge (143),731
Fail to Remain,-79.4065721885579,43.6466767367956,West Queen West (162),577
Personal Injury,-79.3547060296719,43.8049038383118,Hillcrest Village (48),676
Fail to Remain,-79.3448171064078,43.7726817993276,Henry Farm (53),584
Property Damage,-79.4149425817283,43.7032380974298,Lawrence Park South (103),695
Personal Injury,-79.3833951136339,43.806095588612,Bayview Woods-Steeles (49),374
Personal Injury,-79.2839683438188,43.6874465162148,Birchcliffe-Cliffside (122),944
Property Damage,-79.4968563846845,43.7746477742859,York University Heights (27),1707
Fail to Remain,-79.3662038800049,43.7693159192507,Bayview Village (52),752
Property Damage,-79.4075260678123,43.758768293183,Avondale (153),373
Property Damage,-79.4903814161353,43.6861752131007,Mount Dennis (115),437
Property Damage,-79.4296179183723,43.7304411480535,Bedford Park-Nortown (39),1105
Property Damage,-79.516477875732,43.6276540513783,Etobicoke City Centre (159),1458
Property Damage,-79.4449710516356,43.6757626729533,Corso Italia-Davenport (92),616
Fail to Remain,-79.2906476788502,43.7954636663784,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.3767388755782,43.7163282682547,Leaside-Bennington (56),834
Property Damage,-79.3803214160158,43.7684036627413,Bayview Village (52),752
Personal Injury,-79.3920200122643,43.76569545326,Avondale (153),373
Property Damage,-79.4587510790379,43.6972962326173,Briar Hill-Belgravia (108),442
Fail to Remain,-79.4323449321472,43.7303752394089,Bedford Park-Nortown (39),1105
Fail to Remain,-79.5209945348323,43.7650899027899,Black Creek (24),499
Fail to Remain,-79.2189329641351,43.8249774244689,Morningside Heights (144),1211
Fail to Remain,-79.2202596693571,43.8251911171039,Morningside Heights (144),1211
Property Damage,-79.3157640070284,43.6771493262518,Woodbine Corridor (64),471
Property Damage,-79.3172477359475,43.7122198705484,O'Connor-Parkview (54),578
Fail to Remain,-79.487571801071,43.6632661948381,Runnymede-Bloor West Village (89),443
Fail to Remain,-79.4368777177403,43.6517058309746,Dufferin Grove (83),564
Fail to Remain,-79.5586219929931,43.7179618256309,Rexdale-Kipling (4),375
Fail to Remain,-79.4771777394601,43.6896633929479,Keelesdale-Eglinton West (110),628
Personal Injury,-79.4452592171982,43.68341938384,Corso Italia-Davenport (92),616
Fail to Remain,-79.4608225350258,43.6933410929303,Caledonia-Fairbank (109),407
Property Damage,-79.1746185540944,43.7772965605502,West Hill (136),1007
Fatal,-79.5405561003523,43.6387568431207,Islington (158),782
Personal Injury,-79.5189734716521,43.6456599791548,Stonegate-Queensway (16),1188
Property Damage,-79.5703958313057,43.7389828036101,Thistletown-Beaumond Heights (3),439
Fail to Remain,-79.4754389060582,43.6396162094068,High Park-Swansea (87),1261
Property Damage,-79.4331478731119,43.7820882544217,Newtonbrook West (36),828
Fail to Remain,-79.4763008850717,43.6511290769863,High Park North (88),542
Personal Injury,-79.2115535274672,43.8055340158198,Malvern East (146),847
Property Damage,-79.5058046940163,43.6339498141145,Stonegate-Queensway (16),1188
Property Damage,-79.2755821936336,43.704865645235,Clairlea-Birchmount (120),1510
Property Damage,-79.3527855827881,43.6773828338944,North Riverdale (68),558
Personal Injury,-79.3089512254429,43.7105189071126,O'Connor-Parkview (54),578
Fail to Remain,-79.5557596527445,43.7081515205573,West Humber-Clairville (1),2728
Fail to Remain,-79.3293291422271,43.6821413248684,Greenwood-Coxwell (65),604
Fail to Remain,-79.4258208041181,43.6494766951983,Little Portugal (84),624
Personal Injury,-79.3377779086896,43.6989835152202,Old East York (58),670
Fail to Remain,-79.632782675425,43.7513481749747,West Humber-Clairville (1),2728
Fail to Remain,-79.3168085441039,43.6734380510755,Woodbine Corridor (64),471
Fail to Remain,-79.4149425817283,43.7032380974298,Lawrence Park South (103),695
Personal Injury,-79.4459005647738,43.7141449909822,Yorkdale-Glen Park (31),1207
Personal Injury,-79.4006033634224,43.7830403447986,Newtonbrook East (50),719
Property Damage,-79.2188383266497,43.7673167253078,Golfdale-Cedarbrae-Woburn (141),1005
Property Damage,-79.3196669542833,43.6803555099315,Woodbine Corridor (64),471
Fail to Remain,-79.3866432887619,43.78624880624,Bayview Village (52),752
Fail to Remain,-79.296593915368,43.6828164740291,East End-Danforth (62),896
Property Damage,-79.3076344701657,43.6701737994908,The Beaches (63),1156
Property Damage,-79.4088590060356,43.7789738147813,East Willowdale (152),654
Fail to Remain,-79.2387496036089,43.7938636896259,Agincourt South-Malvern West (128),1101
Property Damage,-79.3303809182019,43.7966955756492,L'Amoreaux West (147),520
Property Damage,-79.4813609405729,43.6458829944547,High Park-Swansea (87),1261
Property Damage,-79.4015827389018,43.6910696475521,Forest Hill South (101),733
Property Damage,-79.4915582144053,43.6126525577766,Mimico-Queensway (160),760
Property Damage,-79.4374610376625,43.6758126664658,Corso Italia-Davenport (92),616
Personal Injury,-79.4097141033368,43.7810506841417,East Willowdale (152),654
Property Damage,-79.4045265714364,43.6571118059301,Kensington-Chinatown (78),1099
Property Damage,-79.4589929984808,43.7542423025818,Bathurst Manor (34),619
Fail to Remain,-79.3825398346832,43.6406075848207,Harbourfront-CityPlace (165),830
Fail to Remain,-79.5028012318614,43.7428638126413,Glenfield-Jane Heights (25),958
Property Damage,-79.4623567819332,43.6634902379437,Junction Area (90),863
Property Damage,-79.5171792045588,43.7459191358718,Glenfield-Jane Heights (25),958
Fail to Remain,-79.293445072499,43.6853950282658,East End-Danforth (62),896
Personal Injury,-79.3711531793683,43.7048987464327,Leaside-Bennington (56),834
Fail to Remain,-79.4992037341008,43.6655180384398,Lambton Baby Point (114),127
Property Damage,-79.3619775717657,43.6464068073201,St Lawrence-East Bayfront-The Islands (166),1257
Property Damage,-79.40748594916,43.6681974137885,Annex (95),1286
Fail to Remain,-79.4298991466371,43.7000570895001,Forest Hill North (102),414
Property Damage,-79.3990462888682,43.660888404623,University (79),592
Fail to Remain,-79.2906915102179,43.6821105430124,East End-Danforth (62),896
Property Damage,-79.5114537576796,43.6839559032649,Rockcliffe-Smythe (111),825
Fail to Remain,-79.5536762520302,43.6359386774239,Islington (158),782
Fail to Remain,-79.3074244361479,43.7362648317932,Wexford/Maryvale (119),1973
Fail to Remain,-79.223846018602,43.8074378075399,Malvern West (145),647
Property Damage,-79.2733705991523,43.7080706083946,Clairlea-Birchmount (120),1510
Fail to Remain,-79.4320237476652,43.7290653961564,Bedford Park-Nortown (39),1105
Fail to Remain,-79.402085985315,43.6360283418474,Fort York-Liberty Village (163),604
Property Damage,-79.564804369668,43.6905913967331,Willowridge-Martingrove-Richview (7),579
Fail to Remain,-79.2395613702657,43.7603268602573,Woburn North (142),977
Property Damage,-79.2458119445056,43.791872958086,Agincourt South-Malvern West (128),1101
Property Damage,-79.2768879170548,43.827499324204,Milliken (130),1425
Fail to Remain,-79.278754282782,43.7444315750625,Dorset Park (126),1208
Fail to Remain,-79.4261889367806,43.6727798325447,Wychwood (94),619
Fail to Remain,-79.4434618177509,43.75449511688,Clanton Park (33),740
Fail to Remain,-79.5753274963541,43.7608029180831,Humber Summit (21),944
Personal Injury,-79.5780515663127,43.7349359630421,Thistletown-Beaumond Heights (3),439
Personal Injury,-79.2826533643608,43.7421526737698,Dorset Park (126),1208
Fail to Remain,-79.1947383314348,43.7620081188808,West Hill (136),1007
Fail to Remain,-79.1977421259335,43.7978230510393,Morningside Heights (144),1211
Personal Injury,-79.4034632045326,43.7299245020592,Lawrence Park North (105),546
Fail to Remain,-79.3618374111957,43.7894818919733,Don Valley Village (47),655
Personal Injury,-79.3302206425809,43.6632331075118,Greenwood-Coxwell (65),604
Fail to Remain,-79.2789157769019,43.818621180548,Milliken (130),1425
Property Damage,-79.5556410945667,43.6705635604222,Princess-Rosethorn (10),363
Property Damage,-79.5553174001375,43.6698208877537,Princess-Rosethorn (10),363
Fail to Remain,-79.4306586889028,43.7230697599357,Bedford Park-Nortown (39),1105
Fail to Remain,-79.4946249193295,43.6817827368738,Rockcliffe-Smythe (111),825
Fail to Remain,-79.510264443622,43.7063337137435,Weston (113),594
Fail to Remain,-79.4072142890103,43.6620107570551,University (79),592
Fail to Remain,-79.399381327749,43.661718895228,University (79),592
Personal Injury,-79.3467809167749,43.684024189346,Danforth East York (59),637
Fail to Remain,-79.2686251468307,43.826611014843,Milliken (130),1425
Personal Injury,-79.3655989403866,43.7015529657581,Leaside-Bennington (56),834
Fail to Remain,-79.1332823807699,43.780850532306,West Rouge (143),731
Fail to Remain,-79.3283493421861,43.7729673850076,Henry Farm (53),584
Personal Injury,-79.5191278421179,43.6342116652581,Stonegate-Queensway (16),1188
Fail to Remain,-79.26901735675,43.7246637192544,Kennedy Park (124),679
Personal Injury,-79.4360040355657,43.7451597788854,Lansing-Westgate (38),611
Property Damage,-79.2602420740791,43.7365634138827,Eglinton East (138),631
Fail to Remain,-79.4007116923441,43.6890468812366,Yonge-St.Clair (97),423
Property Damage,-79.5294633860481,43.7688317021955,Black Creek (24),499
Property Damage,-79.5614731891899,43.6476592156224,Islington (158),782
Property Damage,-79.5539184705018,43.685850305267,Willowridge-Martingrove-Richview (7),579
Property Damage,-79.3673175445842,43.8060284812724,Hillcrest Village (48),676
Property Damage,-79.5602214133958,43.6486232706744,Islington (158),782
Property Damage,-79.5405546905064,43.635554760504,Islington (158),782
Property Damage,-79.3356737675485,43.6866750567592,Danforth East York (59),637
Fail to Remain,-79.2450123127397,43.7946371344676,Agincourt South-Malvern West (128),1101
Property Damage,-79.4306083141857,43.6346162052867,South Parkdale (85),1062
Personal Injury,-79.4945864939562,43.6280943965785,Stonegate-Queensway (16),1188
Fail to Remain,-79.3946281919093,43.6625227520508,University (79),592
Property Damage,-79.3625140949885,43.8100815704689,Hillcrest Village (48),676
Property Damage,-79.3721504673134,43.7734691753241,Bayview Village (52),752
Fail to Remain,-79.4638859037151,43.6765677987498,Weston-Pelham Park (91),452
Property Damage,-79.4354768809592,43.7189396922506,Englemount-Lawrence (32),606
Fail to Remain,-79.2059537467344,43.7496507960738,Guildwood (140),279
Personal Injury,-79.515008999112,43.6582960224831,Kingsway South (15),389
Personal Injury,-79.381108948255,43.642053465315,Harbourfront-CityPlace (165),830
Property Damage,-79.4307293508527,43.7234226873138,Bedford Park-Nortown (39),1105
Personal Injury,-79.4639856934058,43.7341171763018,Downsview (155),810
Property Damage,-79.3636474466116,43.7074690935902,Leaside-Bennington (56),834
Fail to Remain,-79.4865586019626,43.717739411818,Maple Leaf (29),334
Property Damage,-79.3980697419007,43.7295986935862,Lawrence Park North (105),546
Property Damage,-79.324062864155,43.6667594162041,Greenwood-Coxwell (65),604
Property Damage,-79.4978897704394,43.6900499976019,Mount Dennis (115),437
Fail to Remain,-79.3561797250762,43.748433271378,Banbury-Don Mills (42),1218
Property Damage,-79.4840164313394,43.6935306103298,Beechborough-Greenbrook (112),415
Fail to Remain,-79.4556064398249,43.7898056630669,Westminster-Branson (35),455
Personal Injury,-79.4096506294875,43.6938014275553,Forest Hill South (101),733
Personal Injury,-79.5276581928426,43.7011900295758,Humber Heights-Westmount (8),407
Property Damage,-79.5389808853688,43.6944856307099,Kingsview Village-The Westway (6),462
Property Damage,-79.3803557438122,43.7133080110382,Bridle Path-Sunnybrook-York Mills (41),631
Property Damage,-79.345911902141,43.6636468330166,South Riverdale (70),1798
Property Damage,-79.2827452183782,43.7591652090402,Dorset Park (126),1208
Fail to Remain,-79.5413576814072,43.6347294040448,Etobicoke City Centre (159),1458
Property Damage,-79.4882282322468,43.6157307776998,Mimico-Queensway (160),760
Personal Injury,-79.4099430692078,43.6459907209836,West Queen West (162),577
Fatal,-79.3234107545038,43.811630477986,Steeles (116),638
Personal Injury,-79.3934808789148,43.6591937445611,Kensington-Chinatown (78),1099
Personal Injury,-79.5598492447548,43.7497986217,Humber Summit (21),944
Personal Injury,-79.5724873906838,43.7170136794569,West Humber-Clairville (1),2728
Property Damage,-79.3607032464109,43.6524825539538,Moss Park (73),1186
Property Damage,-79.2695406402292,43.6896491515085,Birchcliffe-Cliffside (122),944
Property Damage,-79.3863294072572,43.6993879108401,Mount Pleasant East (99),786
Personal Injury,-79.1588391633584,43.7856978053616,Centennial Scarborough (133),381
Personal Injury,-79.3738602466678,43.6486215704779,Downtown Yonge East (168),975
Property Damage,-79.3467809167749,43.684024189346,Danforth East York (59),637
Fail to Remain,-79.3082885261686,43.7594809926284,Wexford/Maryvale (119),1973
Property Damage,-79.3701654397735,43.7741252655269,Bayview Village (52),752
Fail to Remain,-79.2896714716893,43.7043544613254,Clairlea-Birchmount (120),1510
Property Damage,-79.5114537576796,43.6839559032649,Edenbridge-Humber Valley (9),526
Property Damage,-79.3733392970859,43.6604203469889,Moss Park (73),1186
Fail to Remain,-79.3639131942817,43.6821939575004,Broadview North (57),396
Property Damage,-79.4328646054522,43.6994284908622,Humewood-Cedarvale (106),410
Personal Injury,-79.5128210477119,43.6294190578742,Stonegate-Queensway (16),1188
Personal Injury,-79.2447975280768,43.7441629100093,Eglinton East (138),631
Fail to Remain,-79.2565133973462,43.8353776066649,Milliken (130),1425
Personal Injury,-79.53248720467,43.6498543008015,Islington (158),782
Property Damage,-79.2729731702418,43.7137885365901,Clairlea-Birchmount (120),1510
Property Damage,-79.2555788432941,43.7501505871821,Bendale South (157),487
Fail to Remain,-79.5622434247946,43.6724160152949,Princess-Rosethorn (10),363
Fail to Remain,-79.294343950907,43.7443435317207,Wexford/Maryvale (119),1973
Property Damage,-79.4272516567565,43.6627638945124,Dovercourt Village (172),539
Property Damage,-79.472415990784,43.6839916018962,Keelesdale-Eglinton West (110),628
Fail to Remain,-79.4788529967485,43.7122187222071,Maple Leaf (29),334
Property Damage,-79.5050536844316,43.7073607373743,Rustic (28),275
Property Damage,-79.2727772858757,43.7102006115187,Clairlea-Birchmount (120),1510
Fail to Remain,-79.566746132745,43.7369098406502,Thistletown-Beaumond Heights (3),439
Property Damage,-79.1962728744225,43.7918732384966,Morningside (135),475
Fail to Remain,-79.3685335858946,43.6831848909752,Leaside-Bennington (56),834
Fail to Remain,-79.5868280425418,43.6475208214588,Eringate-Centennial-West Deane (11),484
Fail to Remain,-79.2498499164554,43.772519376984,Woburn North (142),977
Property Damage,-79.370693526627,43.6720033658515,Cabbagetown-South St.James Town (71),567
Property Damage,-79.4225560076849,43.7589442173148,Lansing-Westgate (38),611
Personal Injury,-79.3719102693607,43.6504577602141,Moss Park (73),1186
Property Damage,-79.5227061716311,43.655437123562,Kingsway South (15),389
Fail to Remain,-79.4373912927385,43.6528404932354,Dufferin Grove (83),564
Property Damage,-79.4332419771258,43.7402951477426,Lansing-Westgate (38),611
Fail to Remain,-79.4290157998519,43.6700259015613,Dovercourt Village (172),539
Fail to Remain,-79.2205584203195,43.7428288201104,Scarborough Village (139),442
Property Damage,-79.437673332813,43.7389606942241,Clanton Park (33),740
Property Damage,-79.3823728612163,43.7905401800841,Bayview Woods-Steeles (49),374
Property Damage,-79.2206518815327,43.7747080260176,Morningside (135),475
Property Damage,-79.4094240468161,43.6999040202158,Yonge-Eglinton (100),609
Property Damage,-79.4120673769149,43.6655983464618,Annex (95),1286
Fail to Remain,-79.5881566503881,43.6696564238714,Eringate-Centennial-West Deane (11),484
Property Damage,-79.226863175469,43.7970369383891,Malvern West (145),647
Property Damage,-79.4041859719385,43.6476700519326,Trinity-Bellwoods (81),868
Fail to Remain,-79.4181985078252,43.7406231951521,Bedford Park-Nortown (39),1105
Property Damage,-79.31594801685,43.7726639316715,Tam O'Shanter-Sullivan (118),841
Property Damage,-79.3395427824906,43.7760227163427,Pleasant View (46),389
Property Damage,-79.4902889907409,43.6791091250619,Rockcliffe-Smythe (111),825
Property Damage,-79.4058223018868,43.7785301713433,East Willowdale (152),654
Property Damage,-79.3555148481175,43.6911461081474,Broadview North (57),396
Personal Injury,-79.4270554355451,43.7079181898249,Forest Hill North (102),414
